,english_sentence,hindi_sentence
4573,Chandrajyoti,चंद्रज्योती
4574,Shirwadkar he tatvagyan vishayatale Bhartiy Shikshan kshetratil ek prakhyat nav hote.,शिरवाडकर हे तत्त्वज्ञान विषयातले भारतीय शिक्षण क्षेत्रातील एक प्रख्यात नाव होते.
4575,ase tyani lihun thevale ahe.,असे त्यांनी लिहून ठेवले आहे.
4576,"sarade, gogalgay, beduk, masolya, khekade vagaire panyat rahanare jiv he Mor Sharati pakshache khadya ahe.","सरडे, गोगलगाय, बेडूक, मासोळ्या, खेकडे वगैरे पाण्यात राहणारे जीव हे मोर शराटी पक्ष्याचे खाद्य आहे."
4577,Raipur antarrashtriya Cricket maidan tatha Shahid vir Narayan Sing antarrashtriya Cricket maidan he Bharatachya Chhatisgad rajyatil Raipur shahrat aslele cricketche maidan ahe.,रायपूर आंतरराष्ट्रीय क्रिकेट मैदान तथा शहीद वीर नारायण सिंग आंतरराष्ट्रीय क्रिकेट मैदान हे भारताच्या छत्तीसगढ राज्यातील रायपूर शहरात असलेले क्रिकेटचे मैदान आहे.
4578,nav Champions League ase asale tari sahbhagi sanghat deshantargat spardha kadhihi na jinklelya clubchahi samavesh ahe.,नाव चँपियन्स लीग असे असले तरी सहभागी संघांत देशांतर्गत स्पर्धा कधीही न जिंकलेल्या क्लब्जचाही समावेश आहे.
4579,1982:Falklandche yuddha - Argentinane Falkland bete padakrant keli.,१९८२:फॉकलंडचे युद्ध - अर्जेंटिनाने फॉकलंड बेटे पादाक्रांत केली.
4580,chahala chav yenyasathi thandichya kalat yachya lamb panache barik tukade karun chahabarobar kinva chahashivay ukalatat.,चहाला चव येण्यासाठी थंडीच्या काळात याच्या लांब पानाचे बारीक तुकडे करून चहाबरोबर किंवा चहाशिवाय उकळतात.
4581,pane naslyane zadanchi fule sahaj distat.,पाने नसल्याने झाडांची फुले सहज दिसतात.
4582,kumaranchya dukhanyat patni Bhanumati yani tyanchi khup sevashushrusha keli.,कुमारांच्या दुखण्यात पत्नी भानुमती यांनी त्यांची खूप सेवाशुश्रूषा केली.
4583,Bidarmadhlya asamanya wastunchya nirmitit tyancha sinhacha vata hota,बिदरमधल्या असामान्य वास्तूंच्या निर्मितीत त्याचा सिंहाचा वाटा आहे.
4584,prachalit sarv rag ani bhajane tyanchya hya guruni tyana shikavali.,प्रचलित सर्व राग आणि भजने त्यांच्या ह्या गुरुंनी त्यांना शिकविली.
4585,collegatil Nano vigyan sanshodhan kendratil susajja prayogshaleche udghatan arthatadnya Dr.,कॉलेजातील नॅनो विज्ञान संशोधन केंद्रातील सुसज्ज प्रयोगशाळेचे उद्‌घाटन अर्थतज्ज्ञ डॉ.
4586,"Kaoraku - Satpuda parvatrangamadhye rahnari jamat, Raigadh, Jashapur bhagat jast sankhyene rahanare.","कोरकु - सातपुडा पर्वतरांगांमध्ये राहणारी जमात, रायगढ, जशपूर भागात जास्त संख्येने राहणारे."
4587,main rajyamadhun Republican pakshatarfe nivdun geleli Chez Smith hi maval dhornachi asun tine Joseph Mccarthyvar tika karnyat pudhakar ghetala hota.,मेन राज्यामधून रिपब्लिकन पक्षातर्फे निवडून गेलेली चेझ स्मिथ ही मवाळ धोरणाची असून तिने जोसेफ मॅककार्थीवर टीका करण्यात पुढाकार घेतला होता.
4588,"sangnak pranali ata ""smart "" sadhane, smartphone, television ani goshti internet cha bhag mahnun lahan sadhane samavesh khup vividhata samavesh. - ani network nahi faqt internet ani khajagi data network , pan bluetooth, Wi-Fi and etar samavesh wireless network.","संगणक प्रणाली आता ""स्मार्ट "" साधने, स्मार्टफोन, टेलीव्हिजन आणि गोष्टी इंटरनेट च्या भाग म्हणून लहान साधने समावेश खूप विविधता समावेश - आणि नेटवर्क नाही फक्त इंटरनेट आणि खाजगी डेटा नेटवर्क , पण Bluetooth,Wi -Fi आणि इतर समावेश वायरलेस नेटवर्क."
4589,madhuryane paripurne,माधुर्याने परिपूर्ण.
4590,"samshitoshna pradeshat ha kalavadhi sharad ruthucha asato tar, ushna katibandhat havaman shushka honaadhi pangal hote.","समशीतोष्ण प्रदेशात हा कालावधी शरद ऋतूचा असतो तर, उष्ण कटिबंधात हवामान शुष्क होण्याआधी पानगळ होते."
4591,shabdahirval,शब्दहिरवळ
4592,"Samyak Vidyalaya, Shirpur","सम्यक विद्यालय, शिरपूर"
4593,pashchimatya chitrakaranchi chhap disun yete,पाश्चिमात्य चित्रकारांची छाप दिसून येते.
4594,samajsudharana ani purogami vicharancha purasakar he hi Dr. Kanenchi vaishishtye hoti.,समाजसुधारणा आणि पुरोगामी विचारांचा पुरस्कार हे ही डॉ. काणेंची वैशिष्ट्ये म्होती.
4595,Daimlerchya mrutyunanatar 1926 sali DMG ani Benz and CY ya companya ekatra houn Daimler-Benz company nirman zali.,डाइमलरच्या मृत्यूनंतर १९२६ साली डीएमजी आणि बेंत्स उंड साइ या कंपन्या एकत्र होउन डाइमलर-बेंत्स कंपनी निर्माण झाली.
4596,rastyarun dhindh kadhalyavar tyancha vadha kela gela ani 13 varshachnya Gordian tisaryala samrtapadi basavale gele.,रस्त्यातून धिंड काढल्यावर त्यांचा वध केला गेला आणि १३ वर्षांच्या गॉर्डियन तिसर्‍याला सम्राटपदी बसवले गेले.
4597,ha avadhihi pudhe vel vadhavun bharun kadhala jato.,हा अवधीही पुढे वेळ वाढवून भरून काढला जातो.
4598,tya samitine sanshodhan karun Dadoji Kondev guru naslyache jahir kele.,त्या समितीने संशोधन करून दादोजी कोंडदेव गुरू नसल्याचे जाहीर केले.
4599,matra nrutyavaril premakhatar nrutya ha abhyasacha vishay mhanun Mumbai vidyapithat ruju karanyasathi Rele yani pathpurava kela.,मात्र नृत्यावरील प्रेमाखातर नृत्य हा अभ्यासाचा विषय म्हणून मुंबई विद्यापीठात रुजू करण्यासाठी रेळे यांनी पाठपुरावा केला.
4600,he vivar asalyachi kalpana Luna 3 ani Zond 3 ya antaralyanani ghetalelya prakashchitratun ali hoti.,हे विवर असल्याची कल्पना लुना ३ आणि झाँड ३ या अंतराळयानांनी घेतलेल्या प्रकाशचित्रातून आली होती.
4601,September nav Latin bhashetil Septum(sat) ya shabdavarun ale ahe.,सप्टेंबर नाव लॅटिन भाषेतील सेप्टम(सात) या शब्दावरून आले आहे.
4602,tya shifarasinusar kendriya mantrimandal apala nirnay jahir karate.,त्या शिफारसीनुसार केंद्रीय मंत्रीमंडळ आपला निर्णय जाहिर करते.
4603,rogpratikarkshakti,रोगप्रतिकारशक्ती
4604,tin-khandi narshinkoshatalya sampurna narshinpuranacha Marathi anuvad,तीन-खंडी नरसिंहकोशातल्या संपूर्ण नरसिंहपुराणाचा मराठी अनुवाद
4605,"tyaveles asha prakarache gunhegarisathi niyamavali lagu zali tyanusar,National federationne tila padak kadhun taklyanantar sarvajani chetavani dili. 2002madhye puthil vishva Junior Championshipmadhe tyani kasyapadak patakavale.","त्यावेळेस अशा प्रकारचे गुन्हेगारीसाठी नियमावली लागू झाली त्यानुसार,नॅशनल फेडरेशनने तिला पदक काढून टाकल्यानंतर सार्वजनिक चेतावणी दिली.२००२ मध्ये पुढील विश्व ज्युनियर चॅम्पियनशिपमध्ये त्यांनी कांस्यपदक पटकावले."
4606,M.S. Subbalashmi award,एम.एस. सुब्बलक्ष्मी ॲवॉर्ड
4607,ya padhatit pani va pinkancha mulancha pratyaksha sambhandha yet nahi.,या पद्धतीत पाणी व पिकांचा मुळांचा प्रत्यक्ष सबंध येत नाही.
4608,"itihasatil nondipramane Aramic Arabi bhashechya aadhi ya bhagat Armenic bhasha bolali jayachi, aajdekhil Assyrians lokanmadhye Armenic bhasha bolali jate ani tasecha shastriya Syriac bhasha ajunhi anek Syriac Christian sampradayat dharmik bhasha mhanun vaparli jate.","इतिहासातील नोंदीप्रमाणे अरैमिक अरबी भाषेच्या आधी या भागात अरमेनिक भाषा बोलली जायची, आजदेखील अस्सिरींयन्स लोकांमध्ये अरमेनिक भाषा बोलली जाते आणि तसेच शास्त्रीय सिरियाक भाषा अजूनही अनेक सिरियाक ख्रिश्चन संप्रदायांत धार्मिक भाषा म्हणून वापरली जाते."
4609,Nanded jilha,नांदेड जिल्हा
4610,"abhayaranyat gavtal kurane mublak pramant aslyane neelgay tasech sambar, chital, bhekar and gavyansarakhe shekado trunbhakshi adhaltat.","अभयारण्यात गवताळ कुरणे मुबलक प्रमाणात असल्याने नीलगाय तसेच सांबर, चितळ, भेकर आणि गव्यांसारखे शेकडो तृणभक्षी आढळतात."
4611,"bhartat pramukhyane Rajashthan, Andhra Pradesh, Tamilnadu ya rajyat shishachya khani ahet.","भारतात प्रामुख्याने राजस्थान, आंध्र प्रदेश, तमिळनाडू या राज्यांत शिशाच्या खाणी आहेत."
4612,ha chalis athvadyancha kal shevtachya masikpalichya pahily divasapasun mojnyat yeto,हा चाळीस आठवड्यांचा काळ शेवटच्या मासिकपाळीच्या पहिल्या दिवसापासून मोजण्यात येतो.
4613,chitpvanamadhye tya divashi pramukhyane vade-ghargyancha kinva ambolicha naivaidya asato.,चित्पावनांमध्ये त्या दिवशी प्रामुख्याने वडे-घारग्यांचा किंवा आंबोळीचा नैवेद्य असतो.
4614,sari pik paddhat hi pikancya olinpasun sarya kadhun tyamadhun pani dene hoy.,सरी पीक पद्धत ही पिकांच्या ओळींपासून सऱ्या काढून त्यामधून पाणी देणे होय.
4615,"nrutyanmadhye shastriya sangeetavar adharit nrutye, samuh nrutya yatahi lavani, koli, geetanvar adharit tasech nagnagin nrutya ani junya navin chitrpatanmadhil ganyanvar adharit ekeri tasech samuh nrutyancha samavesh hota.","नृत्यांमध्ये शास्त्रीय संगीतावर आधारित नृत्ये, समूह नृत्य यातही लावणी, कोळी गीतांवर आधारित तसेच नागनागीण नृत्य आणि जुन्या नवीन चित्रपटांमधील गाण्यांवर आधारित एकेरी तसेच समूह नृत्यांचा समावेश होता."
4616,"yethil lok mehanati, manmilau, ekjutine rahanare va adaratithyasheel ahet.","येथील लोक मेहनती, मनमिळाऊ, एकजुटीने राहणारे, व आदरातिथ्यशील आहेत."
4617,tyamule nustya dolyani suryakade pahane kadhihi talave.,त्यामूळे नुसत्या डोळ्यांनी सूर्याकडे पाहणे कधीही टाळावे.
4618,angadeshatale naval,अंगदेशातलं नवल
4619,Gotthard Base railway bogda ha switzerlandmadhil Alps parvatanmadhil bogda ahe.,गॉट्टहार्ड बेस रेल्वे बोगदा हा स्वित्झर्लंडमधील आल्प्स पर्वतांतील बोगदा आहे.
4620,aarogya rahasya,आरोग्य रहस्य
4621,vij mhanali dharatila (Natak : lekhak Vi.Va. Shirwadkar),वीज म्हणाली धरतीला (नाटक : लेखक वि.वा. शिरवाडकर)
4622,kshetra,क्षेत्र
4623,AIDS,एड्स
4624,tyaagodar belgundichi hoti,त्याअगोदर बेळगुंदीची होती.
4625,lothi,लोथी
4626,narmada nidhi prajatichya kombadya swasta va paushtik ahet.,नर्मदा निधी प्रजातीच्या कोंबड्या स्वस्त व पौष्टिक आहेत.
4627,he punyat rahat asat,हे पुण्यात राहत असत.
4628,"kahi parampara adhyatmik ani dharmik karanastav tasecha, prathenepurvi athava yogabhyasapurvi, tasecha vipashyanet man shant honyachya prakriyecha bhag manun, maun palnyasahti margdarshan kartat","काही परंपरा आध्यात्मिक आणि धार्मिक कारणास्तव तसेच, प्रार्थनेपूर्वी अथवा योगाभ्यासापूर्वी, तसेच विपश्यनेत मन शांत होण्याच्या प्रक्रियेचा भाग म्हणून, मौन पाळण्यासाठी मार्गदर्शन करतात."
4629,Fences (Software) he Stardock ya companyche ek sanganka anukulun software ahe.,फेन्सेस (सॉफ्टवेअर) हे स्टारडॉक या कंपनीचे एक संगणक अनुकूलन सॉफ्टवेअर आहे.
4630,Torre Picasso varil halla talala.,तोरे पिकासो वरील हल्ला टळला.
4631,Bhupali ha Marathi paramparik sangeetprakar ahe.,भूपाळी हा मराठी पारंपरिक संगीतप्रकार आहे.
4632,bahutek samajanmadhye sangank pranalivar vadhata vishvas vadhatah mahatva ahe.,बहुतेक समाजात मध्ये संगणक प्रणालींवर वाढत विश्वास वाढत महत्व आहे.
4633,pandhrya shepatiche mungus,पांढऱ्या शेपटीचे मुंगूस
4634,Burhanpur Khandesh saltanatichi rajdhani banali.,बुर्हानपुर खानदेश सल्तनतीची राजधानी बनली.
4635,"dakshin Ashia va agneya ashiyat he keshabhushan sahasa striyanmadhe prachalit aslelya veni, ambada ityadi keshrachananmadhe gumphale jate.","दक्षिण आशिया व आग्नेय आशियात हे केशाभूषण सहसा स्त्रियांमध्ये प्रचलित असलेल्या वेणी, अंबाडा इत्यादी केशरचनांमध्ये गुंफले जाते."
4636,"bodhisatva pratishthan, Sharadnagar, Chinchwad(Pune)","बोधिसत्त्व प्रतिष्ठान, शरदनगर, चिंचवड(पुणे)"
4637,"mudrit swarupat na aleli kahi sphoot pade, abhanga ani ovya, vagaire.","मुद्रित स्वरूपात न आलेली काही स्फुट पदे, अभंग आणि ओव्या, वगैरे."
4638,jevha hi khabar dronacharyala samajate te avishvasane achambit hotat.,जेव्हा ही खबर द्रोणाचार्यला समजते ते अविश्वासाने अचंबित होतात.
4639,marutichya khali talghar asun tethe Ramaji baba sadhana karat asat.,मारुतीच्या खाली तळघर असून तेथे रामजी बाबा साधना करत असत.
4640,hya nadine Venezuela va Colambia deshanchi seema akhali ahe.,ह्या नदीने व्हेनेझुएला व कोलंबिया देशांची सीमा आखली आहे.
4641,"Panjab, Pakistan madhil ek jilha ahe.","पंजाब, पाकिस्तान मधील एक जिल्हा आहे."
4642,pratham kat kutun tyachi vastragal pud kartat.,प्रथम कात कुटून त्याची वस्त्रगाळ पूड करतात.
4643,paramveer ya durdarshanvaril malikemule yanna bharpur lokpriyata labhali.,परमवीर या दूरदर्शनावरील मालिकेमुळे यांना भरपूर लोकप्रियता लाभली.
4644,Tribal Museum,ट्रायबल म्युझियम
4645,Gujjarav ya Sanskrit traimasikache 45hun adhik varshe sampadak (1986 pasun mukhya sampadak).,गुञ्जारव या संस्कृत त्रैमासिकाचे ४५हून अधिक वर्षे संपादक (१९८६पासून मुख्य संपादक).
4646,rudrakshachya manincha vapar karit om namah shivaycha jap kela jato.,रुद्राक्षाच्या मणींचा वापर करीत ओम नमः शिवायचा जाप केला जातो.
4647,mhashichya dudhat gayichya dudhapeksha snigdha padartha jasta asatat tyamule tyache tup jasta utarte.,म्हशीच्या दुधात गायीच्या दुधापेक्षा स्निग्ध पदार्थ जास्त असतात त्यामुळे त्याचे तुप जास्त उतरते.
4648,tyala sarva bajunni kardalichya pananni lapetale.,त्याला सर्व बाजूंनी कर्दळीच्या पानांनी लपेटले.
4649,eka padacha dusrya padashi sanikarsha,एका पदाचा दुसऱ्या पदाशी संनिकर्ष.
4650,tyanantar sadashivrao Shahu maharajankade daulatiche shikshan ghenyasathi dakhal zale.,त्यानंतर सदाशिवराव शाहू महाराजांकडे दौलतीचे शिक्षण घेण्यासाठी दाखल झाले.
4651,Gadima puraskar,गदिमा पुरस्कार
4652,upvasachya divashi yacha khadya mahnaun vapar anek thikani hoto.,उपवासाचे दिवशी याचा खाद्य म्हणुन वापर अनेक ठिकाणी होतो.
4653,Dr.Pandurang Sadashiv Khankhoje,डॉ.पांडुरंग सदाशिव खानखोजे
4654,1980 chya loksabha nivadnukit Maharashtra rajyatil uttar madhya Mumbai loksabha matadarsanghatun loksabhevar nivdunn gelya.,१९८० च्या लोकसभा निवडणुकीत महाराष्ट्र राज्यातील उत्तर मध्य मुंबई लोकसभा मतदारसंघातून लोकसभेवर निवडून गेल्या.
4655,1930 madhye mithavaril karachya virodhat satyagrahachi ghoshana keli ani tyachi parinati prasiddh dandi yatret zali.,१९३० मध्ये मिठावरील कराच्या विरोधात सत्याग्रहाची घोषणा केली आणि त्याची परिणती प्रसिद्ध दांडी यात्रेत झाली.
4656,vinichya hangamanantar he pakshi pivalat udi va pandhare diistat.,विणीच्या हंगामानंतर हे पक्षी पिवळट उदी व पांढरे दिसतात.
4657,Dr. Norman Ernest Borlog (America),डॉ. नॉर्मन अर्नेस्ट बोरलॉग (अमेरिका)
4658,Rajgir (adhikrut nav: Girivraj) he Bihar madhil Nalanda jilhyatil ek shahar va adhisuchit kshetra ahe.,राजगीर (अधिकृत नाव: गिरीवराज) हे बिहार मधील नालंदा जिल्ह्यातील एक शहर व अधिसूचित क्षेत्र आहे.
4659,"ingranjanche bhartat aagmana nantar kinva tya sobatacha ya nighantuchi nirmiti tyamule kahi navin vanaspati cha antarbhav yamadhye disato jase chopchini, akkarkarabh ityadi.","इंग्रजांचे भारतात अगमना नन्तर किंवा त्या सोबतच या निघन्टुची निर्मिति त्यामुळे काही नवीन वनस्पति चा अंतर्भाव यामध्ये दिसतो जसे चोपचीनी, अक्कारकरभ इत्यादी."
4660,Baliya bhartachya Uttar Pradesh rajyatil ek shahar ahe.,बलिया भारताच्या उत्तर प्रदेश राज्यातील एक शहर आहे.
4661,"ya kriya ghadayala kiti vel lagto, kriyecha veg kiti ahe, ya kriya konkontya gundharmani prabhavit hotat.","या क्रिया घडायला किती वेळ लागतो, क्रियेचा वेग किती आहे, या क्रिया कोणकोणत्या गुणधर्मांनी प्रभावित होतात."
4662,eravi kheltana zalelya golas (field goal) 2 gun asatat.,एरव्ही खेळताना झालेल्या गोलास (फील्ड गोल) २ गुण असतात.
4663,Durgapur,दुर्गापूर
4664,Mulayam Singh Yadav he tyanchya mulane - Akhilesh Yadav yane - pakshatun hakalpatti kareparyant ya pakshache adhyaksha hote.,मुलायम सिंग यादव हे त्यांच्या मुलाने - अखिलेश यादव याने - पक्षातून हकालपट्टी करेपर्यंत या पक्षाचे अध्यक्ष होते.
4665,hi ujavya hatane falandaji karate.,ही उजव्या हाताने फलंदाजी करते.
4666,matra adhik rakhi rangachi asate.,मात्र अधिक राखी रंगाची असते.
4667,desh partantryat asatana Karjat talukyat ani tyatahi matheranmadhye britishanvirodhat mothi chalval ubhi rahili.,देश पारतंत्र्यात असताना कर्जत तालुक्यात आणि त्यातही माथेरानमध्ये ब्रिटिशांविरोधात मोठी चळवळ उभी राहिली.
4668,Gaya he Bharat deshachya Bihar rajyamadhil Gaya jilhyache mukhyalay va Patana khalokhal rajyatil dusrya kamankache mothe shahar ahe.,गया हे भारत देशाच्या बिहार राज्यामधील गया जिल्ह्याचे मुख्यालय व पाटणा खालोखाल राज्यातील दुसऱ्या क्रमांकाचे मोठे शहर आहे.
4669,homrul chalwalisathi urvarit Bharat ha Dr.,होमरूल चळवळीसाठी उर्वरित भारत हा डॉ.
4670,Amit Majunder (Janma:1 January i.s. 1991) ha ek Bangaladeshi pratham shrenicha cricketpatu ahe jo khulna vibhagatarphe khelto.,अमित मजुंदेर (जन्म:१ जानेवारी इ.स. १९९१) हा एक बांगलादेशी प्रथम श्रेणीचा क्रिकेटपटू आहे जो खुल्ना विभागातर्फे खेळतो.
4671,ya lahan bandhuche nidhan zalyane sarya kutumbachi jababdari Bakre yanni ghetli.,या लहान बंधूंचे निधन झाल्याने सार्‍या कुटुंबाची जबाबदारी बाक्रे यांनी घेतली.
4672,Gyaneshvaritil Saundaryavishva (Rasgrahnatmak pustak),ज्ञानेश्वरीतील सौंदर्यविश्व (रसग्रहणात्मक पुस्तक)
4673,vasukimadhe kahi chal taresudha ahet.,वासुकीमध्ये काही चल तारेसुद्धा आहेत.
4674,angani Ganga gharat Kashi,अंगणी गंगा घरात काशी
4675,Engraji ghoda,इंग्रजी घोडा
4676,Ryukyu Air Commuter- Okinawa Prefecture and Amami Islandsathi Jet Seva,र्युकयू एअर कम्यूटर- ओकिनाव्हा प्रिफेक्चर आणि आमामी आयलंडसाठी जेट सेवा.
4677,pratyek ekadashi la bhajan niyamane hot aste.,प्रत्येक एकादशी ला भजन नियमाने होत असते.
4678,kundyancha akar gol va phulasarkha asto .,कुडयांचा आकार गोल व फुलासारखा असतो .
4679,"kalanachya sankalpananusar, khanik tvaran he sadish vegpharak va to vegpharak kitikshan tikla tya kshananche gunottar hoy.","कलनाच्या संकल्पनांनुसार, क्षणिक त्वरण हे सदीश वेगफरक व तो वेगफरक कितीक्षण टिकला त्या क्षणांचे गुणोत्तर होय."
4680,yanche mul adnav Gojiwade ase hote.,यांचे मूळ आडनाव गोजिवडे असे होते.
4681,purna kele.,पूर्ण केले.
4682,"Bilaspur, Durg ya jilhyatil dongari bhagat rahanare.","बिलासपूर, दुर्ग या जिल्ह्यातील डोंगरी भागात राहणारे."
4683,tyanchi mahiti denyasathi tyani 'me pahila dadhichi'ashi lekhamala facebookvar lihili.,त्यांची माहिती देण्यासाठी त्यांनी 'मी पाहिला दधिची'अशी लेखमाला फेसबुकवर लिहिली.
4684,Bhivandi-Nijampur (Maharashtra),भिवंडी-निजामपूर (महाराष्ट्र)
4685,antarrashtriya yog diwas ha darvarshi 21 June roji jagabharat sajra kela jato.,आंतरराष्ट्रीय योग दिवस हा दरवर्षी २१ जून रोजी जगभरात साजरा केला जातो.
4686,Nav: Manikgad gherakilla,नाव: माणिकगड घेराकिल्ला.
4687,chitpawan kokanastha brahman' ha vishay gheun tya M.,'चित्पावन कोकणस्थ ब्राम्हण' हा विषय घेऊन त्या एम.
4688,lilibeyamchi ladhhai hi ladhhai Karthej va Roman prajasattak yanchyat ladhhali geli.,लिलीबेयमची लढाई ही लढाई कार्थेज व रोमन प्रजासत्ताक यांच्यात लढली गेली.
4689,khas venishun analelya farsha darbar hallmadhye basawnyasathi venischech bara karagir athara mahine kam karit hote.,खास व्हेनिसहून आणलेल्या फरशा दरबार हॉलमध्ये बसविण्यासाठी व्हेनिसचेच बारा कारागीर अठरा महिने काम करीत होते.
4690,laxmichya jatra bharos chalu zalyasna vattat maaj sawali kay kami nhatay bagh…,लक्षीमीच्या ज्यत्रा भरोस च्यालू झाल्यास्नं वट्टात माज सावली काय कमी न्हाताय बघ...
4691,tysathi sansthetarfe vividh upkram kele jatat.,त्यासाठी संस्थेतर्फे विविध उपक्रम केले जातात.
4692,pan 1943madhil bangalchya dushkalamule tyani te shikshan ardhavat sodun dile ani te shetki vishayache shikshan gheu lagle.,पण १९४३मधील बंगालच्या दुष्काळामुळे त्यांनी ते शिक्षण अर्धवट सोडून दिले आणि ते शेतकी विषयाचे शिक्षण घेऊ लागले.
4693,garudanchi gharti katyakutyanpasun banaleli astat va ti bahudha uncha kadyanvar kinva uncha zadanvarti astat.,गरुडांची घरटी काट्याकुट्यांपासून बनलेली असतात व ती बहुधा उंच कड्यांवर किंवा उंच झाडांवरती असतात.
4694,hyacha badla mhanun british rajawatine Bithur gaon jamindosta karun tethil anek mandire va peshawyancha rajwada padun takala.,ह्याचा बदला म्हणून ब्रिटिश राजवटीने बिठूर गाव जमीनदोस्त करून येथील अनेक मंदिरे व पेशव्यांचा राजवाडा पाडून टाकला.
4695,Samrudhi,समृद्धी
4696,2014 Sali Indian Super league spardhechi ghoshna zalyanantar vidyaman bhartiya cricketpatu Mahendrasingh Doni va bollywood abhineta Abhishek Bacchan hyani ekatritpane chennaian clubchi stapana keli.,२०१४ साली इंडियन सुपर लीग स्पर्धेची घोषणा झाल्यानंतर विद्यमान भारतीय क्रिकेटपटू महेंद्रसिंग धोणी व बॉलिवूड अभिनेता अभिषेक बच्चन ह्यांनी एकत्रितपणे चेन्नईयिन क्लबाची स्थापना केली.
4697,Sangli yethil 81vya akhil bhartiya Marathi sahitya samelanache adhyakshapad tyanni bhushawile hote.,सांगली येथील ८१व्या अखिल भारतीय मराठी साहित्य संमेलनाचे अध्यक्षपद त्यांनी भूषविले होते.
4698,Sharada,शारदा
4699,Mahila vishva,महिला विश्व
4700,sur,सुर
4701,na jananatya manavala janata sharan bananyas hava aslela deeksha sanskar va puja swatantrya sarvana samanatene deto mhanun to dharma ahe.,न जाणणात्या मानवाला जाणता शरण बनण्यास हवा असलेला दीक्षा संस्कार व पूजा स्वातंत्र्य सर्वाना समानतेने देतो म्हणून तो धर्म आहे.
4702,ya aadhi tyane i.,या आधी त्याने इ.
4703,Bhartiya yogdarshanat tyala adarache sthan labhale.,भारतीय योगदर्शनात त्याला आदराचे स्थान लाभले.
4704,yache prashaskiya kendra Sonitpur yethe ahe.,याचे प्रशासकीय केंद्र सोणितपुर येथे आहे.
4705,"gadavaril takmak tok : vadapasun aapan payaryanchya sahyane var ale ki ujavikadchi vaat hattipaganmadhun jaun, saral eka tokavar pohchte.","गडावरील टकमक टोक : वाडापासून आपण पायर्‍यांच्या साह्याने वर आले की उजवीकडची वाट हत्तीपागांमधून जाऊन, सरळ एका टोकावर पोहचते."
4706,Netaji Palkar (Jagdish Khebudkar),नेताजी पालकर (जगदीश खेबुडकर)
4707,janmacha vatola kele babani tichyahi.,जन्माच वाटोळं केले बाबानी तिच्याही.
4708,dakshinet asach prakaracha Tali navacha asto.,दक्षिणेत असाच प्रकारचा ताळी नावाचा असतो.
4709,tya sadhya upekshit ahet,त्या सध्या उपेक्षित आहेत.
4710,tasecha 'Sadhana' saptahikat te stambhalekh ani 'Navakal' madhe agralekh lihit asat.,तसेच 'साधना' साप्ताहिकात ते स्तंभलेख आणि 'नवाकाळ' मध्ये अग्रलेख लिहीत असत.
4711,Pallipuram ya navachi anek gave keralat ahet.,पल्लीपुरम या नावाची अनेक गावे केरळात आहेत.
4712,Maharashtra rajya anusuchit jati jamati atyachar pratibhandak aayog,महाराष्ट्र राज्य अनुसूचित जाती जमाती अत्याचार प्रतिबंधक आयोग
4713,he ek puratan ase Shridatta kshetra ahe.,हे एक पुरातन असे श्रीदत्त क्षेत्र आहे.
4714,Maharashtra Granthottejak sansthecha purskar,महाराष्ट्र ग्रंथोत्तेजक संस्थेचा पुरस्कार
4715,Diego Velazquez Tlakotzin,दियेगो वेलाझ्क्वेझ ट्लाकोट्झिन
4716,pashchim Maharashtratalya Aheamdnagar jilhyatil Hanga navache ek dharan ahe.,पश्चिम महाराष्ट्रातल्या अहमदनगर जिल्ह्यातील हंगा नावाचे एक धरण आहे.
4717,"devane avatar ghetale, yavar maza vishvas nahi.","देवाने अवतार घेतले, यावर माझा विश्वास नाही."
4718,Toop tayar karanyasathi khalil padhaticha avalamb karnyat yeto:,तूप तयार करण्यासाठी खालील पद्धतींचा अवलंब करण्यात येतो:
4719,Palanpur he Bhartachya Gujrat rajyatil uttar bhagatil ek shahar ahe.,पालनपूर हे भारताच्या गुजरात राज्यातील उत्तर भागातील एक शहर आहे.
4720,mahar kinva tyanchyasarakhya jativarnahinana mothya pramanavar sainyat bharati karanychi parampara europeanani suru keli.,महार किंवा त्यांच्यासारख्या जातिवर्णहीनांना मोठ्या प्रमाणावर सैन्यात भरती करण्याची परंपरा यूरोपीयांनी सुरू केली.
4721,palaki,पालकी
4722,mhanaje man sthir hoil.',म्हणजे मन स्थिर होईल.’
4723,gelya varshbharat harbhajanla aaplya falandajichya gunvattechi achanak jan ali.,गेल्या वर्षभरात हरभजनला आपल्या फलंदाजीच्या गुणवत्तेची अचानक जाण आली.
4724,Dahanukar Aaudyogik samuhakadun 3 lakh Rs/- chi denagi milalyavar tyache nav Mahadev Lakshaman Dahanukar Mahavidyalaya karnyat ale.,डहाणूकर औद्योगिक समूहाकडून ३ लाख रु/- ची देणगी मिळाल्यावर त्याचे नाव महादेव लक्ष्मण डहाणूकर महाविद्यालय करण्यात आले.
4725,Kurdish ya alpsankhyank deshachya uttarpurvi ani uttarpashchim bhagat bolali jate.,कुर्दिश या अल्पसंख्यांक देशाच्या उत्तरपूर्वी आणि उत्तरपश्चिम भागात बोलली जाते.
4726,Indradhanushya (mahitipar),इंद्रधनुष्य (माहितीपर)
4727,dhyan,ध्यान
4728,Alivardikhanane Marathyancha jordar pratikar kela.,अलीवर्दीखानाने मराठ्यांचा जोरदार प्रतिकार केला.
