,English,Marathi
4425,bhujal,भूजल
4426,yache prashasakiya kendra bhivani yethe ahe.,याचे प्रशासकीय केंद्र भिवनी येथे आहे.
4427,yokohama japanmadhil ek pramukh bandar asun nissan hya bahurashtriya motor utpadan companyche mukhyalay yethech ahe.,योकोहामा जपानमधील एक प्रमुख बंदर असून निसान ह्या बहुराष्ट्रीय मोटार उत्पादन कंपनीचे मुख्यालय येथेच आहे.
4428,radio laharinvar kam karnare khagol bhautikshastradnya mhanun tyanni suruvatila globular cluster pulsarchya (spandak tara) shodhat kaam kele hote.,रेडिओ लहरींवर काम करणारे खगोल भौतिकशास्त्रज्ञ म्हणून त्यांनी सुरुवातीला ग्लोब्युलर क्लस्टर पल्सरच्या (स्पंदक तारा) शोधात काम केले होते.
4429,wadgaon sheri he vegane vadhnare mothe upanagar ahe.,वडगांव शेरी हे वेगाने वाढणारे मोठे उपनगर आहे.
4430,yachi pan rachana ulat sulat thevilelya chotya vatyansarkhi aste.,याची पण रचना उलट सुलट ठेविलेल्या छोट्या वाट्यांसारखी असते.
4431,gadachya atil bhagat aslelya ya don darwaje pahun ase anuman kadhta yete ki gadachya sarvoccha mathyala tatbandi hoti.,गडाच्या आतील भागात असलेल्या या दोन दरवाजे पाहून असे अनुमान काढता येते की गडाच्या सर्वोच्च माथ्याला तटबंदी होती.
4432,kleinhovia ha ek vruksha ahe.,क्लायनोव्हिया हा एक वृक्ष आहे.
4433,bhima nadichya kathi vaslelya ya gavat ashtavinayakanpaiki ek siddhivinayakache deool ahe.,भीमा नदीच्या काठी वसलेल्या या गावात अष्टविनायकांपैकी एक सिद्धविनायकाचे देऊळ आहे.
4434,pantapradhananche suvarnapadak,पंतप्रधानांचे सुवर्णपदक
4435,"samakalin vastavachya kasotivar aplya mahapurushanchya vicharanchi upyuktata tapasun, tyatun tyanchya mothepanacha shodh ya kavitet disto.","समकालीन वास्तवाच्या कसोटीवर आपल्या महापुरुषांच्या विचारांची उपयुक्तता तपासून, त्यातून त्यांच्या मोठेपणाचा शोध या कवितेत दिसतो."
4436,amchya gavchi lakshmi satais varsana bharte…,आमच्या गावची लक्षीमी सताईस वर्सानं भरते...
4437,isavi sanachya 6vya ani 7vya shatakat samrat harshavardhan yane ya samrajyacha vistar kela.,इसवी सनाच्या ६व्या आणि ७व्या शतकात सम्राट हर्षवर्धन याने या साम्राज्याचा विस्तार केला.
4438,don varshanantar to eka betawar utarla.,दोन वर्षानंतर तो एका बेटावर उतरला.
4439,sofie khun va edwardchya gayab honyachya prakarnamule sarvatra rajabaddal prakshobh jabardasta vadhto.,सोफी खून व एडवर्डच्या गायब होण्याच्या प्रकरणामुळे सर्वत्र राजाबद्दल प्रक्षोभ जबरदस्त वाढतो.
4440,samuhik kitak shrushtimadhye ase vartan itar jatimadhye adhalat nahi.,सामूहिक कीटक सृष्टीमध्ये असे वर्तन इतर जातीमध्ये आढळत नाही.
4441,botanical udyan 300 hector kshetravar pasarlele asun yethe vividh prakarchya vanaspati ahet.,बोटॅनिकल उद्यान ३०० हेक्टर क्षेत्रावर पसरलेले असून येथे विविध प्रकारच्या वनस्पती आहेत.
4442,sarovara bhovati anek devle ahet va tyatil bahutek atyant padkya avasthet ahet.,सरोवरा भोवती अनेक देवळे आहेत व त्यातील बहुतेक अत्यंत पडक्या अवस्थेत आहेत.
4443,tyat ranenche don sainik thar zale ani swatah ranyansaha itar paach sainik jakhmi zale.,त्यात राणेंचे दोन सैनिक ठार झाले आणि स्वतः राण्यांसह इतर पाच सैनिक जखमी झाले.
4444,vande vishnun bhavbhayaharan sarvalokaikanatham ||,वन्दे विष्णुं भवभयहरं सर्वलोकैकनाथम् ॥
4445,"tyancha parakram lokansamor yet nahi, karan tya prakramache sakshidar nustat.","त्यांचा पराक्रम लोकांसमोर येत नाही, कारण त्या पराक्रमाचे साक्षीदार नसतात."
4446,zillyatil shri.,जिल्ह्यातील श्री.
4447,raja karle,राजा कारळे
4448,fringillidae pakshikulatla ha ek ganara pakshi ahe.,फ्रिंजिलिडी पक्षिकुळातला हा एक गाणारा पक्षी आहे.
4449,mulakhat youtubevar,मुलाखत यूट्यूबवर
4450,sanjay kulkarni yanna jahir zala ahe.,संजय कुलकर्णी यांना जाहीर झाला आहे.
4451,"dayton, waupaca county, wisconsin","डेटन, वॉपाका काउंटी, विस्कॉन्सिन"
4452,tyapurvi te kahi kal ameriket iranche rajdoot hote.,त्यापूर्वी ते काही काळ अमेरिकेत इराणचे राजदूत होते.
4453,dusrya mahayudhadarmyan zalelya ghanghor ladhait normandymadhil itar vibhagapramane yethe dekhil atonat jivit va vittahani zali hoti.,दुसर्‍या महायुद्धादरम्यान झालेल्या घनघोर लढाईत नोर्मंदीमधील इतर विभागांप्रमाणे येथे देखील अतोनात जीवित व वित्तहानी झाली होती.
4454,"menduchya antarangat (anuvadit, dr. gill taylor ya neuroscientistla brainstrokemule alelya sakshatkari anubhavachi katha; mul ingraji - my stroke of insight)","मेंदूच्या अंतरंगात (अनुवादित, डॉ. जिल टेलर या न्यूरोसायण्टिस्टला ब्रेनस्ट्रोकमुळे आलेल्या साक्षात्कारी अनुभवाची कथा; मूळ इंग्रजी - माय स्ट्रोक ऑफ इनसाइट)"
4455," sivaji to chuha hai, khavind mai aise pakadke launga sivaji ko..!"," सिवाजी तो चूहा है, खाविंद मै ऐसे पकडके लाऊंगा सिवाजी को..!"
4456,saha divsannantarach tyache khajgi sachiv mahadev desai vayachya 50vya varshi hrudayvikarachya zatkyane maran pavle ani tyanchya patni kasturba 18 mahinyanchya bandivasanantar 22 february i.,सहा दिवसांनंतरच त्याचे खाजगी सचिव महादेव देसाई वयाच्या ५०व्या वर्षी हृदयविकाराच्या झटक्याने मरण पावले आणि त्यांच्या पत्‍नी कस्तुरबा १८ महिन्यांच्या बंदिवासानंतर २२ फेब्रुवारी इ.
4457,"tine bichva, baan, chakra, shankha, dhanushya, paanpatra va rakshasachi shendi dharan keli ahe.","तिने बिचवा, बाण, चक्र, शंख, धनुष्य, पानपात्र व राक्षसाची शेंडी धारण केली आहे."
4458,"kumbhachi parvani sadhne ha bhag ahech tasech dharmacharcha hone tyat kahi nirnay hone, zalela nirnay sarva samajaparyanta pochne he sulabh hote.","कुंभाची पर्वणी साधणे हा भाग आहेच तसेच धर्मचर्चा होणे त्यात काही निर्णय होणे, झालेला निर्णय सर्व समाजापर्यंत पोचणे हे सुलभ होते."
4459,ainapure yanche prathamik kathalekhan 1983 la suru zale asle tari tyanche vyapak kathalekhan 1995 pasun suru zale.,ऐनापुरे यांचे प्राथमिक कथालेखन १९८३ ला सुरू झाले असले तरी त्यांचे व्यापक कथालेखन १९९५ पासून सुरू झाले.
4460,hya vyatirikta lagaanla sarvottam videshi bhashik chitrapatasathichya oscar puraskarasathi namankan milale hote parantu ha puraskar milavnyat tyala apayash aale.,ह्या व्यतिरिक्त लगानला सर्वोत्तम विदेशी भाषिक चित्रपटासाठीच्या ऑस्कर पुरस्कारासाठी नामांकन मिळाले होते परंतु हा पुरस्कार मिळवण्यात त्याला अपयश आले.
4461,rangapanchami (balkavitasangrah),रंगपंचमी (बालकवितासंग्रह)
4462,germanyne dilela cross of order of the merit ha manacha nagri sanmaan.,जर्मनीने दिलेला क्रॉस ऑफ ऑर्डर ऑफ द मेरिट हा मानाचा नागरी सनमान.
4463,vidyaharan (rasika),विद्याहरण (रसिका)
4464,kranti jyoti savitribai phule jayanti nimitta 3 january roji darvarshi mahila shetkari melava ayojit kela jato.,क्रांती ज्‍योती सावित्रीबाई फुले जयंती निमित्‍त ३ जानेवारी रोजी दरवर्षी महिला शेतकरी मेळावा आयोजित केला जातो.
4465,"suruvatila mulanna tyanchyatyanchya bolibhashetun shikleli mule panchayatichya kivva ani nagarpalikechya shalet janyasathi tayaar zali ki tyanna praman marathi bhasha shikvaychi, asha ritine maxinebainni hajaro mulanna shikshanachi godi lavli.","सुरुवातीला मुलांना त्यांच्यात्यांच्या बोलीभाषेतून शिकलेली मुले पंचायतीच्या किंवा आणि नगरपालिकेच्या शाळेत जाण्यासाठी तयार झाली की त्यांना प्रमाण मराठी भाषा शिकवायची, अशा रीतेने मॅक्सीनबाईंनी हजारो मुलांना शिक्षणाची गोडी लावली."
4466,"dr, arun bapat he sadhya(2014saali) australiamadhil adelaide vidyapithache ani sofaya gavatil bulgarian vidnyan prabodhiniche abhyagat pradhyapak ahet.","डॉ, अरुण बापट हे सध्या(२०१४साली) ऑस्ट्रेलियामधील अडिलेड विद्यापीठाचे आणि सोफाया गावातील बल्गेरियन विज्ञान प्रबोधिनीचे अभ्यागत प्राध्यापक आहेत."
4467,australian marathi vidyalay sanketsthal,ऑस्ट्रेलियन मराठी विद्यालय संकेतस्थळ
4468,kingston yethe zalelya pahilya kasotit bharatane 75 dhavanchya mobadlyat pahile paach bali gamavle hote.,किंगस्टन येथे झालेल्या पहिल्या कसोटीत भारताने 75 धावांच्या मोबदल्यात पहिले पाच बळी गमावले होते.
4469,ya chitrapatane 8 oscar puraskar jinkun tya veles vikram sthapla hota.,या चित्रपटाने ८ ऑस्कर पुरस्कार जिंकून त्या वेळेस विक्रम स्थापला होता.
4470,yug,युग
4471,tyadrushtine rajachya vegane halchalihi suru zalya .,त्यादृष्टीने राजाच्या वेगाने हालचालीही सुरु झाल्या .
4472,sammelanadhyakshapadi jyestha kavayitri dr.,संमेलनाध्यक्षपदी ज्येष्ठ कवयित्री डॉ.
4473,paryayane gramin bhagatil ya karagirancha paramparik vyavasay adchanit aala va tyanchyavar upasmarichi vel aali.,पर्यायाने ग्रामीण भागातील या कारागिरांचा पारंपरिक व्यवसाय अडचणीत आला व त्यांच्यावर उपासमारीची वेळ आली.
4474,ha philipcha angarakshak hota.,हा फिलिपचा अंगरक्षक होता.
4475,mukhya tara 3.1 drushyapraticha pivla maharakshasi tara ahe.,मुख्य तारा ३.१ दृश्यप्रतीचा पिवळा महाराक्षसी तारा आहे.
4476,vidnyan vishesh (lekhsangraha),विज्ञान विशेष (लेखसंग्रह)
4477,ya rajyachinhat madhyabhagi gandbherund (don tondancha ek mithak pakshi) asun tyachya don bajunna tambdi aayal aslele don sharabh ubhe ahet.,या राज्यचिन्हात मध्यभागी गंडभेरुंड (दोन तोंडांचा एक मिथक् पक्षी) असून त्याच्या दोन बाजूंना तांबडी आयाळ असलेले दोन शरभ उभे आहेत.
4478,renviya dhagancha abhyas,रेणवीय ढगांचा अभ्यास
4479,suryasta (gayakwad),सूर्यास्त (गायकवाड)
4480,ek mati anek moti,एक माती अनेक नाती
4481,ajahi jagachya magaslelya bhagant asha tarhechya zopdya adhaltat.,आजही जगाच्या मागासलेल्या भागांत अशा तऱ्हेच्या झोपड्या आढळतात.
4482,parantu tyanni suru keleli ganeshotsavachi parampara tya parisaratil nagrikanni va tatkalin karyakartyanni pudhe suru thevli.,परंतु त्यांनी सुरू केलेली गणेशोत्सवाची परंपरा त्या परिसरातील नागरिकांनी व तत्कालीन कार्यकर्त्यांनी पुढे सुरू ठेवली.
4483,encyclopedia britannica - george orwell (english majkur),एन्सायक्लोपीडिया ब्रिटानिका - जॉर्ज ऑर्वेल (इंग्लिश मजकूर)
4484,"mukti din - jersey, guernsey va itar channel dweepe.","मुक्ति दिन - जर्सी, गर्न्सी व ईतर चॅनेल द्वीपे."
4485,mhanun anubhadwara kalnare anubhavle janare te anubhav brahma hoy.,म्हणून अनुभाव्द्वारा कळणारे अनुभवले जाणारे ते अनुभव ब्रम्ह होय.
4486,tya kali ayurvedic vanaspatinvar va aushadhanvar sanshodhan karnarya ya bharatatil anokhya adhunik vaidyakiya sanstha hotya.,त्या काळी आयुर्वेदिक वनस्पतींवर व औषधांवर संशोधन करणाऱ्या या भारतातील अनोख्या आधुनिक वैद्यकीय संस्था होत्या.
4487,babasaheb ambedkaranna avashyak vatat hote.,बाबासाहेब आंबेडकरांना आवश्यक वाटत होते.
4488,wikivoyage varil klaipeda paryatan guide (ingraji),विकिव्हॉयेज वरील क्लीपेदा पर्यटन गाईड (इंग्रजी)
4489,sarla,सरला
4490,westjet,वेस्टजेट
4491,budhbhushan ha chatrapati sambhaji maharajanni lihilela sanskrut grantha ahe.,बुधभूषण हा छत्रपती संभाजी महाराजांनी लिहिलेला संस्कृत ग्रंथ आहे.
4492,rashtriya mahamarga 74 ha bharatatil ek pramukh rashtriya mahamarga ahe.,राष्ट्रीय महामार्ग ७४ हा भारतातील एक प्रमुख राष्ट्रीय महामार्ग आहे.
4493,tyamule vishwa apardarshak dhukyaaivaji paradarshak banle.,त्यामूळे विश्व अपारदर्शक धुक्याऐवजी पारदर्शक बनले.
4494,rajbagh beachvar aslele he hotel palolem beach pasun he resort drive karat avghya 15 minitanchya antaravar ahe.,राजबाग बीचवर असलेले हे हॉटेल पालोलेम बीच पासून हे रेसोर्ट ड्राईव्ह करत अवघ्या १५ मिनिटांच्या अंतरावर आहे.
4495,samsung sgh-d840 ha samsungchya d malikemadhil ek bhramandhwani ahe.,सॅमसंग एसजीएच-डी८४० हा सॅमसंगच्या डी मालिकेमधील एक भ्रमणध्वनी आहे.
4496,18vya shatakatil nicholas lui da lakai ya french khagolshastradnyane yachi vyakhya keli hoti.,१८व्या शतकातील निकोलस लुई द लाकाई या फ्रेंच खगोलशास्त्रज्ञाने याची व्याख्या केली होती.
4497,sagar zilla bharatatil madhya pradesh rajyatil ek zilla ahe.,सागर जिल्हा भारतातील मध्य प्रदेश राज्यातील एक जिल्हा आहे.
4498,marathi bhashecha dnyat itihas sadharanpane hazar te terashe varshancha ahe.,मराठी भाषेचा ज्ञात इतिहास साधारणपणे हजार ते तेराशे वर्षांचा आहे.
4499,maharashtra times,महाराष्ट्र टाइम्स.
4500,juni sindhi manse rojchya vyavaharat sindhi bhashecha avarjun vapar kartat.,जुनी सिंधी माणसे रोजच्या व्यवहारात सिंधी भाषेचा आवर्जून वापर करतात.
4501,ata apan jagojagi jine aslelya paschim tatbandivar chadhayche va bhairavnath mandiraparyanta chalat jayche.,आता आपण जागोजागी जिने असलेल्या पश्चिम तटबंदीवर चढायचे व भैरवनाथ मंदीरापर्यंत चालत जायचे.
4502,patangachi dori,पतंगाची दोरी
4503,"muslim saghatana babri masjid kruti samiti (bmac) pratinidhitva panel r s sharma, d n jha, m athar ali ani suraj bhan samavesh hota.","मुस्लिम संघटना बाबरी मशीद कृती समिती (bmac) प्रतिनिधीत्व पॅनल आर एस शर्मा, डी एन झा, एम athar अली आणि सुरज भान समावेश होता."
4504,"ya bolibhashet vhata, aalli, kadulavat, jatala, yalli, gelli ashi kriyapadachi rupe distat.","या बोलीभाषेत व्हता, आल्ली, काडूलावत, जातलं, यल्ली, गेल्ली अशी क्रियापदाची रूपे दिसतात."
4505,tyaveli to mumbai sanghamadhun gujrat sanghavirudha khelat hota.,त्यावेळी तो मुंबई संघामधून गुजरात संघाविरुद्ध खेळत होता.
4506,galileola yababat mahiti hote pan toparyanta tyachi drushti geleli hoti.,गॅलिलिओला याबाबत माहिती होते पण तोपर्यंत त्याची दृष्टी गेलेली होती.
4507,va pratikul paristhititun tayari karun aplya sanghala jinkun deto.,व प्रतिकूल परिस्थितीतून तयारी करून आपल्या संघाला जिकून देतो.
4508,"yancha vapar aayan mojmaap, vidutchumbakiya kshetrache mojmaap aadinsathi bharatiya dhruv mohimetil sanshodhak dakshin ani uttar dhruvavaril mahiti sankalanasathi karit ahet.","यांचा वापर आयन मोजमाप, विदुतचुंबकीय क्षेत्राचे मोजमाप आदींसाठी भारतीय ध्रुव मोहिमेतील संशोधक दक्षिण आणि उत्तर ध्रुवावरील माहिती संकलनासाठी करीत आहेत."
4509,tethe tyanni shikshika pesha sweekarla.,तेथे त्यांनी शिक्षकी पेशा स्वीकारला.
4510,wadgaon killyachya paythyache gav ahe.,वडगाव किल्ल्याच्या पायथ्याचे गाव आहे.
4511,kan,कां
4512,wikivoyage varil france paryatan guide (ingraji) (english majkur),विकिव्हॉयेज वरील फ्रान्स पर्यटन गाईड (इंग्रजी) (इंग्लिश मजकूर)
4513,ha vibhag francechya uttar bhagat english khadichya kinaryawar va seine nadichya mukhajawal vasla ahe.,हा विभाग फ्रान्सच्या उत्तर भागात इंग्लिश खाडीच्या किनाऱ्यावर व सीन नदीच्या मुखाजवळ वसला आहे.
4514,2007 saalanantar pahilyach ya dharnat evdha motha paanisatha zala,२००७ सालानंतर पहिल्यांच या धरणात एवढा मोठा पाणीसाठा झाला
4515,ram zaryamadhe bhinti bandhunahi tyavar vyavasayikanche akraman chalu ahe.,राम झर्‍यामधे भिंती बांधूनही त्यावर व्यावसायिकांचे आक्रमण चालू आहे.
4516,gopal kaushik,गोपाल कौशिक
4517,nazi doctoranna yudhakaidi aslelya jewnvar anek prayog kele.,नाझी डॉक्टरनी युद्धकैदी असलेल्या ज्यूंवर अनेक प्रयोग केले.
4518,kahi pashupalanahi kartat.,काही पशुपालनही करतात.
4519,asiayi kala aswal,आशीयाई काळं अस्वल
4520,"ya prayogshalet super capacitors, saururjesathi lagnare cells, paani shudha karnyache tantradnyan, hydron sathavnyasathiche tantradnyan yanvishayi sanshodhan kele jate.","या प्रयोगशाळेत सुपर कपॅसिटर्स, सौरऊर्जेसाठी लागणारे सेल्स, पाणी शुद्ध करण्याचे तंत्रज्ञान, हायड्रोन साठवण्यासाठीचे तंत्रज्ञान यांविषयी संशोधन केले जाते."
4521,"andarbav- teen darwajyachya varchya bajula malavar ek teen kamanichi, kalya dagadanchi vaastu diste.","अंदरबाव- तीन दरवाज्याच्या वरच्या बाजूला माळावर एक तीन कमानीची, काळ्या दगडांची वास्तू दिसते."
4522,bahirji naik yanchya purvetihasabaddal itihasat trotak sandarbha ahet.,बहिर्जी नाईक यांच्या पूर्वेतिहासाबद्दल इतिहासात त्रोटक संदर्भ आहेत.
4523,nirvasit nakshatra,निर्वासित नक्षत्र
4524,sarabhai versus sarabhai (doorchitravani malika),साराभाई व्हर्सेस साराभाई (दूरचित्रवाणी मालिका)
4525,mankato amerikechya minnesota rajyatil shahar ahe.,मॅन्कॅटो अमेरिकेच्या मिनेसोटा राज्यातील शहर आहे.
4526,jayprakash narayan yanni sthapan kelela samajwadi paksha ha tya tukdyanpaikich ek paksha.,जयप्रकाश नारायण यांनी स्थापन केलेला समाजवादी पक्ष हा त्या तुकड्यांपैकीच एक पक्ष.
4527,"tripurasur : yala bhagwan shankarane marle, ani tyanchi teen nagare (pure) jalun takli.","त्रिपुरासुर : याला भगवान शंकराने मारले, आणि त्यांची तीन नगरे (पुरे) जाळून टाकली."
4528,1995: maharashtra rajya mantrimandalane bombay he nav badlun mumbai ase naamkaran karnyacha nirnay ghetla.,१९९५: महाराष्ट्र राज्य मंत्रिमंडळाने बॉम्बे हे नाव बदलून मुंबई असे नामकरण करण्याचा निर्णय घेतला.
4529,1659 madhye chhatrapati shivaji raje yanni afzalkhanacha vadh kela.,१६५९ मध्ये छत्रपती शिवाजी राजे यांनी अफझलखानाचा वध केला.
4530,ani mhanunach anekanna ushti bore denari shabari bhavte.,आणि म्हणूनच अनेकांना उष्टी बोरे देणारी शबरी भावते.
4531,"pradeep gandhi (bharatiya janta paksh) - rajnandgaon (loksabha matadarsangha), chhattisgarh","प्रदीप गांधी (भारतीय जनता पक्ष) - राजनांदगांव (लोकसभा मतदारसंघ), छत्तिसगढ"
4532,kahi antaraparyanta tine ahmednagar va beed zillyanmadhil naisargik seema mhanun kam kele ahe.,काही अंतरापर्यत तिने अहमदनगर व बीड जिल्ह्यांमधील नैसर्गिक सीमा म्हणून काम केले आहे.
4533,garbhartha (arogyavishayak),गर्भार्थ (आरोग्यविषयक)
4534,tine 100peksha adhik chitrapatantun ani dozenvari doorchitravani malikanmadhun abhinay kela.,तिने १००पेक्षा अधिक चित्रपटांतून आणि डझनावारी दूरचित्रवाणी मालिकांमधून अभिनय केला.
4535,mel granthancha,मेळ ग्रंथांचा
4536,tethun gad chadhayla suruwat karavi.,तेथून गड चढायला सुरुवात करावी.
4537,"sthapanenantarchya 53 varshat sansthechi prathamik te padvyuttar; tasech vaidyakiya, abhiyantriki asha vividh kshetrantil abhyaskram shikavinari 180 shala-colleges ahet, tyant didh lakh vidyarthi shikshan ghet asun, sumare vees hazar karmachari nokris ahet.","स्थापनेनंतरच्या ५३ वर्षांत संस्थेची प्राथमिक ते पदव्युत्तर; तसेच वैद्यकीय, अभियांत्रिकी अशा विविध क्षेत्रांतील अभ्यासक्रम शिकविणारी १८० शाळा-कॉलेजेस आहेत, त्यांत दीड लाख विद्यार्थी शिक्षण घेत असून, सुमारे वीस हजार कर्मचारी नोकरीस आहेत."
4538,kavyashrushti,काव्यसृष्टी
4539,pratyek shrenitil sadrikaran he vishesh taalim karun basavinyat aalyache nidarshanas yet hote.,प्रत्येक श्रेणीतील सादरीकरण हे विशेष तालीम करून बसविण्यात आल्याचे निदर्शनास येत होते.
4540,ghitil vadun.,घितील वाडून.
4541,"dayanand sanganak mahavidyalay, latur","दयानंद संगणक महाविद्यालय, लातूर"
4542,deshachya madhya-purva bhagat vaslele tlaxcala he akarane mexicoche sarvaat lahan rajya ahe.,देशाच्या मध्य-पूर्व भागात वसलेले त्लास्काला हे आकाराने मेक्सिकोचे सर्वात लहान राज्य आहे.
4543,phytoplasmamule pananmadhye haritdravye tayar hot nahit va tyamule phutvyancha ranga pandhra kivva pivalsar disto.,फायटोप्लास्मामुळे पानांमध्ये हरीतद्रव्ये तयार होत नाहीत व त्यामुळे फुटव्यांचा रंग पांढरा किंवा पिवळसर दिसतो.
4544,vastula labhlele tvaran va te tvaran kiti kaal tikle yacha gunakar mhanje tya vastucha tya kalapurta weg.,वस्तूला लाभलेले त्वरण व ते त्वरण किती काळ टिकले याचा गुणाकार म्हणजे त्या वस्तूचा त्या काळापुरता वेग.
4545,gambia desh 1984 saalapasun unhali olympic spardhanmadhye sahabhagi zala asun tyane ajvar ekahi padak jinklele nahi.,गांबिया देश १९८४ सालापासून उन्हाळी ऑलिंपिक स्पर्धांमध्ये सहभागी झाला असून त्याने आजवर एकही पदक जिंकलेले नाही.
4546,josh talks bhartat anek thikani vyakhyane ghetat ani tyamadhun bhartatil yuvak ani yuvatina protsahit kartat.,जोश टॉक्स भारतात अनेक ठिकाणी व्याख्याने घेतात आणि त्यामधून भारतातील युवक आणि युवतींना प्रोत्साहित करतात.
4547,"hindu bhakt hajaro thikani bhet deun suru asatana, sarkar mashid hi vadgrast khestra ghosit kela ahe ani tyacha veshi band ahe.","हिंदू भक्त हजारो ठिकाणी भेट देऊन सुरू असताना, सरकार मशीद ही वादग्रस्त क्षेत्र घोषित केले आहे आणि त्याच्या वेशी बंद आहे."
4548,orange city lgbt pride march athva nagpur pride march maharashtratil nagpur shahratil pride pared ahe .,ऑरेंज सिटी lgbt प्राईड मार्च अथवा नागपूर प्राईड मार्च महाराष्ट्रातील नागपूर शहारातली प्राईड परेड आहे .
4549,maharaj aaj kuthalaya mohimevar janar ahet he sarvat adhi naikana mahit asyache.,महाराज आज कुठल्या मोहिमेवर जाणार आहेत हे सर्वात आधी नाईकांना माहित असायचे.
4550,"ha atyant ""garam"" prakash vishishtha asha mothya bhandyanvar kendrit kartat.","हा अत्यंत ""गरम' प्रकाश विशिष्ट अशा मोठ्या भांड्यांवर केंद्रित करतात."
4551,shashanachi udasin pravrutti va futirvadi chalvalis protsahan,शासनाची उदासीन प्रवॄत्ती व फुटीरवादी चळवळीस प्रोत्साहन
4552,"2003 salchya vishvachashakamadhye 673 dhava, hya konihi kontyahi eka vishvachashakamadhye kelelya dhanvapeksh adhik ahet.",२००३ सालच्या विश्वचषकामध्ये ६७३ धावा. ह्या कोणीही कोणत्याही एका विश्वचषकामध्ये केलेल्या धावांपेक्षा अधिक आहेत.
4553,bal maifal.,बाल मैफल
4554,ekati,एकटी
4555,paul ata edwerdla choukashichya navakhali tras denyas suruvat karato.,पॉल आता एड्वर्डला चौकशीच्या नावाखाली त्रास देण्यास सुरुवात करतो.
4556,chintu ani miniche bahutek veles patat nahi.,चिंटू आणि मिनीचे बहुतेक वेळेस पटत नाही.
4557,"kaundinya sanshodhan bhavan, yog ani nisargopachar kendra, shramik kanishatha mahavidyalay, onkarnath malpani vidhi mahavidyalay, shikshanshastra padavi mahavidyalay, shikshanshastra padavika mahavidyalay, vagaire.","कौण्डिण्य संशोधन भवन, योग आणि निसर्गोपचार केंद्र, श्रमिक कनिष्ठ महाविद्यालय, ओंकारनाथ मालपाणी विधी महाविद्यालय, शिक्षणशास्त्र पदवी महाविद्यालय, शिक्षणशास्त्र पदविका महाविद्यालय, वगैरे.."
4558,republican party of india (makharam pawar),रिपब्लिकन पार्टी ऑफ इंडिया (मखराम पवार)
4559,ishtalingavar guru ling jangam navani ghetleli tin tirthe mhanaje padodak,इष्टलिंगावर गुरु लिंग जंगम नावांनी घेतलेली तीन तीर्थे म्हणजे पादोदक.
4560,"bali yethil sangit gamelan ya navane olkhale jate,he sangit far vikasit ani vividhtene natlele ahe.","बाली येथील संगीत गमेलान या नावाने ओळखले जाते,हे संगीत फार विकसित आणि विविधतेने नटलेले आहे."
4561,tich sadhya arai-sindhi lipi hoy.,तीच सध्याची अरबी-सिंधी लिपी होय.
4562,roman samrajyas tisrya shatakatil sankatparva sampavanaysathi tyche he vijay karanibhut aslyane aureliyanla restititor orbis (latin: restititor orbis) mhanaje 'vishvacha punarsthapak' hi upadhi denyat ali.,रोमन साम्राज्यास तिसऱ्या शतकातील संकटपर्व संपवण्यासाठी त्याचे हे विजय कारणीभूत असल्याने ऑरेलियनला रेस्टिट्युटर ऑर्बिस (लॅटिन: restitutor orbis) म्हणजे 'विश्वाचा पुनर्स्थापक' ही उपाधी देण्यात आली.
4563,dharmik va vaidnyanik vishyankarita shala va mahavidyalaye sthapan karane.,धार्मिक व वैज्ञानिक विषयांकरीता शाळा व महाविद्यालये स्थापन करणे.
4564,marcopolo ha pravasi tichya karkirditacha i.,मार्कोपोलो हा प्रवासी तिच्या कारकिर्दीतच इ.
4565,anjalibai malpekar yanche charitra,अंजलीबाई मालपेकर यांचे चरित्र
4567,"matra, hiraji yani britishanchya tavaditun sutaka karun ghetali va azad dastyat samil zale.","मात्र, हिराजी यांनी ब्रिटिशांच्या तावडीतून सुटका करून घेतली व आझाद दस्त्यात सामील झाले."
4568,"yamule tya rasancha swad, rang uttam rahto.","यामुळे त्या रसांचा स्वाद, रंग उत्तम राहतो."
4569,sadhyachi lal mahal hi vastu pune mahanagar palikeni 1988 sali ubharali.,सध्याची लाल महाल ही वास्तू पुणे महानगर पालिकेनी १९८८ साली उभारली.
4570,andhra pradesh cricket sangh bharatachya andhra pradesh rajyache anterdeshiya cricket spardhanmadhye pratinidhitva karato.,आंध्र प्रदेश क्रिकेट संघ भारताच्या आंध्र प्रदेश राज्याचे अंतर्देशीय क्रिकेट स्पर्धांमध्ये प्रतिनिधित्व करतो.
4571,"dattaram, dada salavi, nanasaheb phatak, panditrao nagarkar, parshuram samant, bal kolhatkar, bhalchandra pendharkar, ramesh dev, raja paranjape, ramdas kamat, suresh haldankar, te aajchya pidhitil advait dadarkar, mangesh kadam yanchyabarobar tyani kam kele ahe.","दत्ताराम, दादा साळवी, नानासाहेब फाटक, पंडितराव नगरकर, परशुराम सामंत, बाळ कोल्हटकर, भालचंद्र पेंढारकर, रमेश देव, राजा परांजपे, रामदास कामत, सुरेश हळदणकर, ते आजच्या पिढीतील अद्वैत दादरकर, मंगेश कदम यांच्याबरोबर त्यांनी काम केले आहे."
4572,adhyayanachi navad nirman hone.,अध्ययनाची नावड निर्माण होणे.
4573,chandrajyoti,चंद्रज्योती
